Country;Area;Waterbody Type;Date;Ammonia (mg/l);Biochemical Oxygen Demand (mg/l);Dissolved Oxygen (mg/l);Orthophosphate (mg/l);pH (ph units);Temperature (cel);Nitrogen (mg/l);Nitrate (mg/l);CCME_Values;CCME_WQI
Canada;FISW_604;Lake;12/01/1981;0.1;213.333;8.358;0.005;7.79;6.327;0.223;0.119529;100.0;Excellent
Canada;FISW_487;Lake;12/01/1982;0.041216;213.333;8.591;0.002;7.79;8.178;0.21;6.667.062;100.0;Excellent
Canada;FISW_487;Lake;12/01/1983;0.05796;213.333;8.171;0.006;7.79;8.518;0.346;583.682;100.0;Excellent
Canada;FISW_451;Lake;12/01/1984;0.65688;213.333;6.015;0.004;7.79;6.092;0.445;583.682;9.303.844.017.209.570;Good
Canada;FISW_416;Lake;12/01/1985;0.0072128;213.333;10.645;0.002;7.79;6.172;0.053;0.0641915;100.0;Excellent
Canada;FISW_183;Lake;12/01/1986;0.0322;213.333;8.775;0.0;7.79;6.626;0.265;0.084113;100.0;Excellent
Canada;FISW_403;Lake;10/04/1986;0.1;213.333;9.291;0.0;7.79;15.169;0.017;0.035416;100.0;Excellent
Canada;FI35879;Lake;12/01/1987;0.01205568;213.333;9.762;0.031214;7.79;7.516;0.033;0.066405;100.0;Excellent
Canada;UK52264975;Lake;12/01/1988;0.030912;213.333;9.17;0.027667;7.79;7.283;0.125;1.320.720.191;100.0;Excellent
Canada;UK49714100;Lake;12/01/1989;0.030912;706.154;7.213;0.00395;7.79;9.885;0.07;208.069;9.314.414.618.339.820;Good
Canada;FISW_62;Lake;10/04/1989;0.1;213.333;7.505;0.0;7.79;10.15;0.0;0.0;100.0;Excellent
Canada;UK46825580;Lake;12/01/1990;0.01588529;106.545;117.909;0.005571;7.79;10.235;0.0586667;1.182.009;9.234.561.130.835.050;Good
Canada;FISW_522;Lake;10/04/1990;0.1;213.333;8.74;0.0;7.79;11.116;0.0;0.0;100.0;Excellent
Canada;UK49714100;Lake;12/01/1991;0.002576;7.65;11.684.103.383.014.400;0.007;7.79;7.068;0.004;0.407284;930.738.083.584.153;Good
Canada;UK46825580;Lake;12/01/1992;0.010948;1.2;9.425;0.011;7.79;9.815;0.0085;11.496.919;100.0;Excellent
Canada;FI35879;Lake;12/01/1993;0.03864;7.4;5.089;0.004389;7.79;7.916;0.06;0.243485;9.310.712.296.435.610;Good
Canada;FI35879;Lake;12/01/1994;0.01288;137.571;8.73;0.001;7.79;110.354;0.022;0.097394;100.0;Excellent
Canada;FI35879;Lake;12/01/1995;0.182896;145.833;9.862;0.01;7.79;112.686;0.09;0.243485;100.0;Excellent
Canada;FI35879;Lake;12/01/1996;0.088872;2.08;109.137;3.26e-05;7.79;962.823;0.024;207.466.928;100.0;Excellent
Canada;FI9603;Lake;12/01/1997;0.031280368;0.64;10.878;0.0025;7.79;10.852;0.022;0.097394;100.0;Excellent
Canada;FI35879;Lake;12/01/1998;0.0117208;213.333;108.417;0.00516667;7.79;10.65;0.2395;372.412.521;100.0;Excellent
Canada;FI35879;Lake;12/01/1999;0.03864;0.6;8.25;0.028;7.79;8.069;0.0718;7.671.991;100.0;Excellent
Canada;IT09S1287;River;12/01/2000;0.02093;1.05;8.878;0.012;7.79;7.737;0.07525;0.154945;100.0;Excellent
Canada;IT09S1281;River;12/01/2001;0.05474;1.9;10.825;0.03;76.925;8.469;0.156;0.08854;100.0;Excellent
Canada;IEEA_10_32;Lake;08/06/2001;0.01591968;0.55;9.824;0.004;7.79;16.8;0.007;0.624207;100.0;Excellent
Canada;IT09S1304;River;12/01/2002;0.061824;0.7883;11.684.103.383.014.400;0.20525;7.1;112.381;0.355;0.637488;8.631.941.309.713.670;Good
Canada;FISW_612;Lake;10/04/2002;0.1;213.333;5.716;0.0;7.79;16.456;0.0;0.0;100.0;Excellent
Canada;FISW_187;Lake;02/12/2002;0.1288;213.333;1.15;0.04;7.79;2.55;0.4;270.047;100.0;Excellent
Canada;IT09S1304;River;12/01/2003;0.069552;0.95;8.177;0.0086;80.017;13.625;0.038;0.447127;100.0;Excellent
Canada;SE626033-147550;Lake;08/06/2003;0.020608;213.333;9.824;0.003;7.79;17.6;0.351;1.780.676.637;100.0;Excellent
Canada;IT09S1304;River;12/01/2004;0.023184;1.17;10.685;0.002;7.01;11.968;0.042;1.607.001;100.0;Excellent
Canada;SE683337-133785;Lake;08/06/2004;0.00530656;213.333;9.8;0.0025;7.79;12.5;0.04;583.682;100.0;Excellent
Canada;IT09S1304;River;12/01/2005;0.01288;0.17;9.658;774.127;8.085;104.929;0.034;0.349733;4.601.091.529.150.100;Marginal
Canada;RS7323A;Lake;08/06/2005;0.3030664;17.906;95.438;0.0077;7.79;12.0;0.4;0.4519967;100.0;Excellent
Canada;IT09S1304;River;12/01/2006;0.0119784;0.6833;10.44;0.076;83.571;9.997;0.061;5.020.218;9.278.546.826.884.990;Good
Canada;FISW_987;Lake;10/04/2006;0.011377329;0.323333;7.625;0.00033333;7.79;14.55;0.4;1.495.586.691;100.0;Excellent
Canada;IT02-64031101;Lake;08/06/2006;0.02339871;0.201667;8.59;0.0008;7.79;12.6;0.4;0.686185;100.0;Excellent
Canada;IT09S1304;River;12/01/2007;0.00966;1.5;10.5;0.0025;816.667;139.667;0.178255;15.959.335;100.0;Excellent
Canada;FI39531;Lake;10/04/2007;0.047656;0.71;11.0;0.00497143;7.79;12.0;0.049;0.8854;100.0;Excellent
Canada;IT21-13022;Lake;08/06/2007;0.026708998;0.274671;10.8;0.0129;7.79;12.0;0.4;19.784.263;100.0;Excellent
Canada;SE728744-162653;Lake;02/12/2007;0.037352;213.333;9.3;0.002;7.79;0.0;0.4;0.66405;100.0;Excellent
Canada;IT09S1304;River;12/01/2008;0.455092904;12.59;11.684.103.383.014.400;0.0026;7.88;18.5;0.064;665.413.516;9.164.906.664.407.440;Good
Canada;IT21-13042;Lake;05/03/2008;0.010948;0.535;9.295;0.00055;7.79;7.05;0.4;1.775.227;100.0;Excellent
Canada;SE633344-130068;Lake;10/04/2008;0.041216;0.78;94.036;0.002;4.69;141.333;0.01;0.115102;100.0;Excellent
Canada;BAD2;Lake;08/06/2008;0.22218;0.393333;11.1;0.0025;8.47;18.225;0.4;1.173.155;100.0;Excellent
Canada;DESM_DENI_48162282;River;12/01/2009;0.02307671;3.83;8.23;0.0058;82.283;108.429;0.25;0.774725;100.0;Excellent
Canada;FISW_602;Lake;10/04/2009;0.05152;1.25;72.667;0.00242857;8.25;16.7;0.4;1.261.695;100.0;Excellent
Canada;BADERANSKO-JEZERO;Lake;08/06/2009;0.0644;3.34;13.73;0.0;8.2;21.3;0.4;137.237;100.0;Excellent
Canada;FRHR03105500;River;12/01/2010;0.00644;2.5;100.818;0.00326316;8.2;14.825;0.339;0.531173595;100.0;Excellent
Canada;PLSM_PL01S0302_0266;Lake;10/04/2010;0.01354551;4.25;8.15;0.008;79.875;155.375;0.4;0.516484809;100.0;Excellent
Canada;EELM17;River;08/06/2010;0.029624;0.5;7.8;0.012;8.3;24.4;0.4;0.110675;100.0;Excellent
Canada;FRFLP0625013;Lake;11/09/2010;0.011019561;0.5;7.8;0.00326316;7.79;12.0;0.0297475;0.249911233;100.0;Excellent
Canada;HRRV_16451;River;12/01/2011;0.16744;11.875;8.15;0.00675;8.25;11.5;0.0904;0.32363495;100.0;Excellent
