ugrhi,macro_land_use,measurement_points,ph,do,bod,tc,tn,tp,ts,turb,temp,wqi,classification
5,industrial,CPIV02200,7.2,2.1,9,22000,6.2,1.0,392,30,26.0,34,bad
5,industrial,CPIV02200,7.0,3.1,5,7900,5.9,0.8,379,33,23.0,39,medium
5,industrial,CPIV02200,6.9,1.5,29,130000,9.6,0.7,453,78,21.0,20,bad
5,industrial,CPIV02200,7.1,2.2,8,130000,4.78,1.0,372,27,20.0,30,bad
5,industrial,CPIV02200,7.1,0.5,21,170000,6.1,0.4,502,42,23.0,21,bad
5,industrial,CPIV02200,7.1,2.1,12,110000,9.9,0.9,407,29,24.0,29,bad
5,industrial,CPIV02200,6.8,3.3,13,4000,2.3,0.7,714,571,26.0,47,medium
5,industrial,CPIV02200,7.3,2.1,8,23000,10.54,1.0,239,27,23.0,35,bad
5,industrial,CPIV02200,7.3,1.9,7,7900,11.34,2.0,239,21,18.0,32,bad
5,industrial,CPIV02200,7.3,1.2,5,7000,13.05,1.0,248,21,22.0,31,bad
5,industrial,CPIV02200,7.4,1.5,18,330000,16.01,2.0,296,20,24.0,22,bad
5,industrial,CPIV02200,7.2,3.4,9,790,7.0,0.8,249,49,23.0,46,medium
5,industrial,CPIV02200,7.0,2.7,6,14000,4.1,0.05,341,64,28.0,43,medium
5,industrial,CPIV02200,6.6,3.2,15,490000,3.1,0.4,688,457,24.0,29,bad
5,industrial,CPIV02200,6.8,3.9,12,70000,5.1,0.4,323,32,18.0,39,medium
5,industrial,CPIV02200,7.2,3.3,18,7000,4.5,0.8,335,29,20.0,35,bad
5,industrial,CPIV02200,7.5,1.0,12,17000,17.01,2.0,396,44,23.0,28,bad
5,industrial,CPIV02200,7.0,3.9,22,540000,3.0,2.0,1800,2100,26.0,22,bad
5,industrial,CPIV02200,6.8,3.7,6,46000,3.79,0.9,609,450,26.5,31,bad
5,industrial,CPIV02200,7.2,3.2,6,17000,15.2,0.6,307,43,24.0,41,medium
5,industrial,CPIV02200,4.6,6.7,18,92000,4.1,0.6,345,145,18.0,25,bad
5,industrial,CPIV02200,6.7,1.7,13,140000,9.6,0.7,319,49,20.0,28,bad
5,industrial,CPIV02200,6.6,2.6,6,49000,6.9,0.8,236,48,19.0,34,bad
5,industrial,CPIV02200,7.0,1.7,11,28000,12.1,1.0,308,37,25.0,33,bad
5,industrial,CPIV02200,7.1,2.5,7,17000,2.4,2.0,236,34,26.5,36,bad
5,industrial,CPIV02200,7.0,1.5,10,250000,6.6,0.8,420,279,22.0,24,bad
5,industrial,CPIV02200,7.1,1.7,5,64000,15.06,2.0,228,20,18.0,28,bad
5,industrial,CPIV02200,6.8,0.1,95,660000,6.11,2.0,1200,723,20.0,12,very_bad
5,industrial,CPIV02200,7.2,3.0,7,2700,7.4,4.0,206,31,25.0,38,medium
5,industrial,CPIV02200,6.7,4.0,7,50000,1.35,0.5,316,182,24.0,35,bad
5,industrial,CPIV02200,7.0,3.4,7,37000,1.7,0.3,363,293,25.0,33,bad
5,industrial,CPIV02200,7.1,2.9,13,58000,7.3,1.0,204,28,22.0,31,bad
5,industrial,CPIV02200,7.2,2.4,9,13000,10.4,2.0,253,16,17.0,31,bad
5,industrial,CPIV02200,7.1,2.1,9,30000,16.1,0.8,255,16,18.0,31,bad
5,industrial,CPIV02200,7.4,3.7,9,10000,16.4,2.0,246,18,23.0,35,bad
5,industrial,CPIV02200,6.7,4.5,12,52000,2.7,0.4,399,558,23.0,32,bad
5,industrial,CPIV02200,7.0,3.3,9,4800,7.5,0.5,248,39,26.0,41,medium
5,industrial,CPIV02200,7.3,2.3,11,68000,8.3,0.5,246,39,24.0,32,bad
5,industrial,CPIV02200,7.3,4.0,8,1300,12.1,0.02,228,12,18.0,51,medium
5,industrial,CPIV02200,7.4,1.0,13,310000,16.3,0.775,282,17,22.0,24,bad
5,industrial,CPIV02200,7.3,0.4,42,550000,22.21,3.19,427,23,24.0,14,very_bad
5,industrial,CPIV02200,7.1,1.8,6,23000,7.4,0.374,245,59,26.5,34,bad
5,industrial,CPIV02200,6.9,3.7,11,68333,3.1,0.49,295,166,24.0,31,bad
5,industrial,CPIV02200,7.1,2.0,6,2833,8.1,0.499,217,29,25.0,40,medium
5,industrial,CPIV02200,6.7,4.9,9,106667,2.96,0.314,719,529,19.0,32,bad
5,industrial,CPIV02200,7.3,4.0,20,10000,12.23,1.09,201,14,22.0,34,bad
5,industrial,CPIV02200,7.4,1.7,25,35000,16.25,1.44,249,17,27.0,24,bad
5,industrial,CPIV02200,7.3,5.3,9,20000,10.29,0.764,223,29,29.0,43,medium
5,industrial,CPIV02200,7.2,2.4,15,26667,7.5,0.4,200,30,29.0,35,bad
5,industrial,CPIV02200,7.0,2.0,29,7667,8.6,0.5,234,36,25.0,30,bad
5,industrial,CPIV02200,7.2,2.0,29,8167,14.17,1.0,252,19,20.0,27,bad
5,industrial,CPIV02200,7.1,0.4,29,5167,25.4,0.9,255,22,20.0,22,bad
5,industrial,CPIV02200,7.2,2.6,9,6167,13.49,0.8,242,24,22.0,37,medium
5,industrial,CPIV02200,7.0,1.4,19,15000,14.24,0.7,259,41,26.5,28,bad
5,industrial,CPIV02200,7.7,5.3,15,141667,20.21,2.0,329,14,31.0,31,bad
5,industrial,CPIV02200,7.5,0.4,19,716667,22.21,3.0,338,21,22.1,17,very_bad
5,industrial,CPIV02200,7.4,0.8,21,866667,26.21,3.0,356,14,21.3,18,very_bad
5,industrial,CPIV02200,7.5,1.2,24,333333,31.08,3.0,404,12,20.9,18,very_bad
5,industrial,CPIV02200,7.5,3.8,12,9000,27.0,2.0,374,7,24.1,33,bad
5,industrial,CPIV02200,7.1,1.3,6,35000,10.6,0.7,294,38,26.7,30,bad
5,industrial,CPIV02200,7.1,2.3,16,101667,16.25,0.9,302,14,26.8,28,bad
5,industrial,CPIV02200,7.1,0.4,63,1516667,9.11,1.0,913,55,23.5,15,very_bad
5,industrial,CPIV02200,7.3,2.7,8,7500,17.3,1.0,312,14,21.0,35,bad
5,industrial,CPIV02200,7.3,6.3,7,41667,18.3,1.0,332,13,20.7,40,medium
5,industrial,CPIV02200,7.0,4.0,5,55000,6.0,0.3,322,121,23.1,34,bad
5,industrial,CPIV02200,7.1,3.7,4,26667,6.3,0.4,243,97,24.6,39,medium
